Product_ID,Product_Name,Category,Price,Total_Selling,Quantity,Date_Sold,Total_Revenue,Discount
101,T-Shirt,Home Appliances,441,1900,4,2024-08-21,1669252,21
108,Microwave,Sports,1694,1430,147,2024-10-16,1689030,8
114,T-Shirt,Electronics,1405,1402,367,2024-07-10,1159869,13
116,Microwave,Books,1332,1947,307,2024-09-09,1129187,4
117,Laptop,Home Appliances,320,1946,85,2024-11-14,817525,49
123,Novel,Books,52,1520,479,2024-04-28,323207,28
125,Football,Books,408,1670,306,2024-12-22,1849185,30
126,Football,Sports,2000,1601,354,2024-09-06,1998394,26
132,Microwave,Clothing,716,1754,44,2024-06-23,1629756,10
135,T-Shirt,Home Appliances,1673,1807,76,2024-05-08,152764,11
141,Football,Clothing,495,1694,65,2024-09-18,125647,26
147,Novel,Clothing,162,1734,340,2024-05-03,1252945,34
149,Laptop,Home Appliances,1737,1519,414,2024-01-25,1321298,35
151,Laptop,Sports,1853,1913,13,2024-06-18,1930579,50
152,Microwave,Home Appliances,997,1913,195,2024-10-17,1039847,4
155,Football,Sports,1110,1925,391,2024-05-04,1651100,4
157,Microwave,Electronics,368,1494,302,2024-01-15,723971,37
158,Novel,Clothing,1946,1649,343,2024-08-26,1924753,28
159,Football,Books,1564,1940,143,2024-05-23,1405850,41
160,T-Shirt,Books,465,1873,290,2024-12-01,6701,48
165,Novel,Electronics,1075,1565,360,2024-03-04,1535914,34
168,Microwave,Books,1834,1834,198,2024-12-25,1885770,14
169,T-Shirt,Books,1327,1633,143,2024-02-06,408627,20
172,Laptop,Books,559,1993,497,2024-10-15,1813018,1
174,Novel,Clothing,952,1408,312,2024-09-17,259572,35
175,Football,Home Appliances,1989,1453,28,2024-08-21,317852,25
179,Football,Electronics,1560,1513,146,2024-05-12,1069469,12
180,Football,Books,1320,1578,319,2024-03-22,1680845,39
190,Microwave,Clothing,1684,1495,181,2024-12-10,656881,13
193,Laptop,Clothing,1806,1913,168,2024-02-07,561639,9
195,T-Shirt,Sports,1545,1612,405,2024-02-16,488537,10
197,Novel,Clothing,1698,1938,63,2024-02-16,1125394,37
198,Microwave,Sports,22,1548,103,2024-12-02,784145,42
