Product_ID,Product_Name,Category,Price,Total_Selling,Quantity,Date_Sold,Total_Revenue,Discount
103,Football,Electronics,1902,785,394,2024-06-21,493071,5
104,Novel,Clothing,216,989,178,2024-06-03,1976237,47
107,Laptop,Books,964,800,351,2024-12-03,655859,5
110,T-Shirt,Clothing,1140,1149,383,2024-08-23,1729502,10
111,Laptop,Books,1118,873,287,2024-10-22,351975,38
113,Novel,Home Appliances,1442,1063,341,2024-01-17,1044198,7
115,Laptop,Clothing,470,1262,180,2024-05-16,1469798,17
118,Novel,Sports,577,767,327,2024-10-28,506949,41
120,Football,Electronics,1445,1136,128,2024-12-22,1652340,33
121,Football,Clothing,183,1221,173,2024-06-02,1486615,42
122,Novel,Sports,1856,1225,334,2024-06-07,419418,15
127,Novel,Sports,430,761,297,2024-08-12,799426,16
128,Novel,Sports,1454,801,311,2024-11-05,522317,43
130,Laptop,Clothing,1122,917,13,2024-03-17,769877,40
131,Laptop,Books,891,927,173,2024-06-05,658082,20
134,T-Shirt,Electronics,1457,766,332,2024-12-04,1857665,29
136,Novel,Books,761,1248,420,2024-11-27,1843827,48
137,T-Shirt,Books,473,808,396,2024-01-11,1909748,0
138,Football,Electronics,711,1270,171,2024-10-28,1604196,25
142,Novel,Electronics,1067,1273,413,2024-01-25,981595,35
143,Football,Sports,1407,799,218,2024-10-26,1576274,38
148,T-Shirt,Electronics,974,1207,281,2024-02-25,1197547,36
154,T-Shirt,Clothing,11,815,27,2024-01-27,264196,21
161,Laptop,Electronics,1838,756,129,2024-06-26,800899,32
163,Novel,Clothing,1968,914,180,2024-08-15,1471029,21
166,Laptop,Home Appliances,1169,847,138,2024-07-27,777025,28
167,Microwave,Electronics,761,1117,226,2024-04-19,971775,36
176,Novel,Electronics,1776,876,63,2024-07-14,600172,20
178,Football,Sports,392,1022,421,2024-02-18,919962,48
182,Novel,Sports,479,1050,46,2024-12-25,1310628,29
183,Football,Sports,1773,1015,163,2024-12-05,1142224,5
185,Laptop,Electronics,747,1274,395,2024-01-24,1556997,21
189,Novel,Electronics,1050,1076,489,2024-04-16,1102421,41
