Product_ID,Product_Name,Category,Price,Total_Selling,Quantity,Date_Sold,Total_Revenue,Discount
298,T-Shirt,Sports,3564,1935,143,2024-01-01,1430176,30
408,Shoes,Sports,3374,1926,347,2024-01-02,1475099,48
681,T-Shirt,Books,1820,1618,214,2024-01-04,151837,32
256,Shoes,Sports,1146,1606,289,2024-01-06,594203,15
903,Shoes,Sports,2495,1745,1,2024-01-07,794342,46
124,Headphones,Electronics,247,1915,141,2024-01-11,201038,38
701,Laptop,Electronics,3699,1328,449,2024-01-13,1697700,40
540,Novel,Sports,2984,1609,221,2024-01-15,677424,25
408,Laptop,Sports,1159,1763,414,2024-01-20,224038,45
720,T-Shirt,Books,4796,1673,103,2024-01-26,1464758,31
123,Laptop,Sports,3547,1349,342,2024-01-29,1859298,17
951,Tablet,Sports,3916,1638,309,2024-01-30,1847508,11
252,Headphones,Clothing,1082,1778,259,2024-02-02,232173,17
398,Laptop,Clothing,386,1578,427,2024-02-05,1962625,47
711,Football,Sports,4862,1412,171,2024-02-11,1658510,46
519,T-Shirt,Sports,2352,1293,345,2024-02-15,1302670,28
834,Headphones,Clothing,2527,1677,7,2024-02-18,228618,32
523,Laptop,Books,2579,1810,462,2024-02-26,1586984,5
903,T-Shirt,Electronics,4739,1482,121,2024-02-28,523722,26
433,Novel,Sports,1797,1641,265,2024-03-02,454023,15
788,Watch,Electronics,2159,1714,252,2024-03-04,1483557,40
557,Laptop,Home Appliances,3789,1584,280,2024-03-07,1016703,10
398,Tablet,Clothing,472,1655,270,2024-03-08,1393455,47
446,Laptop,Clothing,2760,1855,278,2024-03-10,525919,36
