Product_ID,Product_Name,Category,Price,Total_Selling,Quantity,Date_Sold,Total_Revenue,Discount
735,Novel,Electronics,1001,1168,105,2024-01-05,822069,48
302,Football,Clothing,2639,725,56,2024-01-08,1597492,40
854,Tablet,Books,3364,724,39,2024-01-10,1309408,31
650,Football,Books,2382,936,239,2024-01-12,715322,32
678,Laptop,Books,2976,820,365,2024-01-17,557810,41
444,Novel,Clothing,2770,660,56,2024-01-24,414528,3
540,Football,Home Appliances,2991,1020,175,2024-01-27,1486655,4
176,Football,Electronics,2790,784,410,2024-01-28,1500966,2
119,Tablet,Home Appliances,3338,1228,403,2024-02-04,1590406,13
429,Shoes,Electronics,2584,1088,382,2024-02-06,1918561,9
429,Watch,Home Appliances,2680,1190,213,2024-02-09,974942,21
672,Tablet,Sports,4458,1086,245,2024-02-10,351972,42
960,Shoes,Sports,3978,796,417,2024-02-12,1441351,46
912,Watch,Home Appliances,3656,1150,98,2024-02-14,438663,22
706,Watch,Home Appliances,1751,1269,163,2024-02-16,1208441,9
803,Shoes,Sports,2056,1044,253,2024-02-19,924752,23
209,Shoes,Clothing,3264,956,433,2024-02-20,227248,5
778,Laptop,Home Appliances,3918,850,206,2024-02-21,1673969,30
328,Headphones,Sports,783,1022,319,2024-02-24,1742740,5
412,Shoes,Books,1921,1218,433,2024-02-25,1012960,34
165,Headphones,Electronics,347,1261,80,2024-02-27,1321491,17
374,Novel,Sports,3098,760,402,2024-03-01,1474717,29
